"Número de cliente","Razón social","Tipo de documento","Número de documento","Telefono","Correo","Localidad","Partido","Provincia","Importancia","Rubro","Zona","Responsable 1","Responsable 2"
"10961","CERVANTES GAS","CUIT","","0261-4524924","","GODOY CRUZ","GODOY CRUZ","MENDOZA","","","CAPITAL FEDERAL","",""
"11314","CESAR GONZALEZ Y CIA SRL","CUIT","30613652767","4488-0132","","CIUDADELA","TRES DE FEBRERO","BUENOS AIRES","","","ZONA NORTE","",""
"11016","CESCA S.A.","CUIT","30620972114","03564 - 15654928 / 15380006 / 15611130","info@cesca-sa.com.ar","SAN FRANCISCO","SAN JUSTO","CORDOBA","","CUPLAS","CAPITAL FEDERAL","",""
"12951","CETEC SUDAMERICANA S.A.","CUIT","30609611541","2052-1113/1115 Rodolfo","","","","","","","ZONA TRAFICAÑO","",""
"10073","CEVEJOTA S.R.L.","CUIT","30610865395","42728613","","GUILLON, LUIS","ESTEBAN ECHEVERRIA","BUENOS AIRES","","","ZONA SUR","",""
"10307","CFR","CUIT","","4757-7869","","SAN MARTIN","CAPAYAN","CATAMARCA","","","ZONA NORTE","",""
"10793","CFR SH","CUIT","306440007436","4651-5852/4482-3589","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"12343","CGC COMPAÑIA GENERAL DE COMBUSTIBLES S.A.","CUIT","30506733932","[]","","","","","","","","Dos Santos Alejandro",""
"10555","CGR S.A.","CUIT","30634115575","4454-6388/9/4454-6118/9/(02202)49-9600/(02202)49-9601","","","","","","","ZONA TRAFICAÑO","Bracco Fernando",""
"10084","CHAJA FRENOS (INDUSTRIAS ONAM S.A.)","CUIT","30709446254","4246-46584246-1091","","LANUS","LANUS","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA SUR","",""
"10889","CHAMPIGNONES ARGENTINOS S.A.","CUIT","30662076259","03488-480456","","BELEN DE ESCOBAR","ESCOBAR","BUENOS AIRES","","","ZONA NORTE","",""
"11326","CHEHIN INGENIERIA","CUIT",".","4790-4130/7167-0588","","OLIVOS","VICENTE LOPEZ","BUENOS AIRES","","","ZONA NORTE","",""
"12731","CHEHIN INGENIERIA","CUIT","30712241744","[]","","","","","","","","Benitez Enzo",""
"10122","CHERTA PERGAMINO S.A.","CUIT","30552585530","02477-422979/435422","","PERGAMINO","PERGAMINO","BUENOS AIRES","","","","",""
"12573","CHEVRON ARGENTINA SRL","CUIT","30523479241","[]","","","","","","CONDUCCION","","",""
"10299","CHIAPERO Y ASOCIADOS S.R.L. (FAR)","CUIT","30506113535","03492-440001/FAXPAULO03492-440321","fcurbero@vmg-far.com.ar","RAFAELA","CASTELLANOS","SANTA FE","","","CAPITAL FEDERAL","",""
"10556","CHIAPETTA, MARCELO","CUIT","20183137655","4641-4094","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CONDUCCION","CAPITAL FEDERAL","",""
"10139","CHIARELLI, OSCAR","CUIT","20048308598","4220-6464","arcucci@datamarkets.com.a","LANUS","LANUS","BUENOS AIRES","","CUPLAS","ZONA SUR","",""
"12757","CHIAZA SERVICIOS INDUSTRIALES S.R.L.","CUIT","30708719753","[]","a.dossantos","","","","","","","",""
"12273","CHOSOICO SA","CUIT","30522558857","2928-491026","","","","","","","","",""
"11378","CIA AZUCARERA LOS BALCANES SA","CUIT","30675415087","0381-4922 011","","SAN MIGUEL","CRUZ ALTA","TUCUMAN","","","","",""
"10085","CIA ENGRAW","CUIT","","","","","","","","","","",""
"12404","CIAPECO SA","CUIT","30709747750","2966-446381(Dpto.Técnico)","","RIO GALLEGOS","GUER AIKE","SANTA CRUZ","","","","",""
"12500","CIATEMA SRL","CUIT","30714273767","4635-6210/4635-7086","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","","",""
"10898","CIBALL (CARLOS ALBERTO LOPEZ)","CUIT","20045969836","4738-3098","","VILLA BALLESTER","GRL.SAN MARTIN","BUENOS AIRES","","","ZONA NORTE","",""
"11167","CICA","CUIT","","","","","","","","","","",""
"11003","CIDEM S.A.","CUIT","30678616938","4657-8872-155006-7147","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"11124","CILINDROS HIDRAULICOS ARGENTINOS SRL","CUIT","30709282030","02362-445445//447430","","JUNIN","JUNIN","MENDOZA","","","CAPITAL FEDERAL","",""
"10786","CILINDROS HIDRAULICOS DELFABRO S.R.L.","CUIT","33711846749","(03564)42-0656","","SAN FRANCISCO","SAN JUSTO","CORDOBA","","","","",""
"11469","CILKOR S A","CUIT","30708238704","(0351)466-6061","","","","","","","","",""
"11489","CILTON S.A.","CUIT","30711592799","(03533)42-0821","","LAS VARILLAS","SAN JUSTO","CORDOBA","","","","",""
"10766","CIMPA SERVICIOS S.A.","CUIT","30657433027","4555-0080/0505","","VILLA URQUIZA","PARANA","ENTRE RIOS","","","CAPITAL FEDERAL","",""
"12732","CIMSA S.R.L.","CUIT","33710198069","541152639284","a.dossantos","","","","","CONDUCCION","CAPITAL FEDERAL","Dos Santos Alejandro",""
"10816","CIOCCA LUIS A (TORNERIA SAN CAYETANO)","CUIT","20104797742","4734-4363","","CASEROS","TRES DE FEBRERO","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA NORTE","",""
"11918","CIPOLL","CUIT","","03533-421491","","","","","","","","",""
"12836","CIR INDUSTRIA Y ENERGíA","SIN IDENTIFICAR","00002","[]","","","","","","","","",""
"11022","CIRCUITECNICA DE HORACIO GIORGI","CUIT","20161888312","(03464)49-3512(int5y110)/(03464)49-3352(NOESTAHORACIOACA)/(03464)49-3513/(03464)49-3426","","FUENTES","SAN LORENZO","SANTA FE","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"10343","CIRCUITO UNO S.A.","CUIT","33546743549","4687-3068","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CIRCUITO HIDRAULICO","CAPITAL FEDERAL","",""
"11050","CIRCUITOS Y SERVICIOS S.R.L.","CUIT","30618825260","(0341)436-0700","admin@cyssrl.com.ar/ventas@...","ROSARIO","ROSARIO","SANTA FE","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"11459","CIROCO SRL","CUIT","30614816550","4726-8334","","","","","","","ZONA NORTE","",""
"12306","CIROMI S.R.L","CUIT","30714881287","11-30975320","","ELDORADO","ELDORADO","MISIONES","","","","",""
"10984","CIRVAL S.A.","CUIT","30707478043","0341-4655777","","ROSARIO","ROSARIO","SANTA FE","","","CAPITAL FEDERAL","",""
"12445","CITAR (ZUNINO PEDRO ANTONIO)","CUIT","20130914218","4753-0972","","GENERAL SAN MARTIN ,EST.SAN MARTIN","GENERAL SAN MARTIN","BUENOS AIRES","","","","",""
"13068","CITROMAX SACI","CUIT","30506230914","(3863) 496200 Ext. 5010","info@citromax.com","","","","BAJA","CONDUCCION","ZONA NORTE","Iglesias Gustavo",""
"13082","CITRUS DEL NORTE SA","CUIT","30687376389","1532611087 1532611087","","","","","BAJA","","ZONA NORTE","Iglesias Gustavo",""
"12574","CITRUSVIL","CUIT","","[]","","","","","","","","",""
"13062","CITRUSVIL S.A.","CUIT","30619458253","381 4515 500 / 11 4328 3534","info@citrusvil.com.ar","","","","BAJA","CONDUCCION","ZONA NORTE","",""
"12838","CIVIL - NET S. A","CUIT","30711476640","[]","","","","","","","","",""
"12428","CIVMET SRL","CUIT","30715425609","(0299)6825359","","CINCO SALTOS","GENERAL ROCA","RIO NEGRO","","","","",""
"11493","CLAUDIO VARIA","CUIT","","4653-1602","","CIUDADELA","TRES DE FEBRERO","BUENOS AIRES","","","ZONA NORTE","",""
"12112","CLEAR PETROLEUM S.A.","CUIT","30622159216","(0297)4480994","","COMODORO RIVADAVIA","ESCALANTE","CHUBUT","","CILINDRO HIDRAULICO","","",""
"10958","CLEDER S.A. (EX DUSP)","CUIT","30708004894","4601-6313/4602-8951/4638-3222","dusp@sion.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"10428","CLEVERS S.R.L.","CUIT","30628878966","11-7700-0035/11-7634-3078","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CONDUIT","CAPITAL FEDERAL","",""
"12988","CLIMATéCNICA ARGENTINA S.A.","CUIT","30709891517","011 4553-5200","info@climatecnica.com","","","","","PARA CALDERAS","ZONA TRAFICAÑO","",""
"13014","CLORINDO APPO S.R.L.","CUIT","30505126633","[]","","","","","","","ZONA TRAFICAÑO","",""
"13116","CNH INDUSTRIAL ARGENTINA S.A.","CUIT","30585895268","[]","","","","","","","","",""
"12344","CO-MARFIL S.A.","CUIT","30708979119","+549116187-5664/2102-7765","","","","","","CILINDRO HIDRAULICO","ZONA SUR","",""
"10424","COARDEL","CUIT","","4208-4120","","","","","","CONDUIT","ZONA SUR","",""
"11940","COARDEL SACIFIA","CUIT","30519454331","4215-4432","compras@coardel.com.ar","PLATANOS","BERAZATEGUI","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA SUR","",""
"11887","COCCOLO S.A.","CUIT","30711298912","44418042","","SAN JUSTO","LA MATANZA","BUENOS AIRES","","ESTRUCTURAL","ZONA OESTE","",""
"10133","CODAN ARGENTINA S.A.","CUIT","30702260058","4616-0065","gbenitez@roulundscodan.com","SAN JUSTO","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10025","CODESIN S.A.","CUIT","30645568350","(0299) 4412848","","NEUQUEN","NEUQUEN","NEUQUEN","","CILINDRO HIDRAULICO","ZONA TRAFICAÑO","Ierullo Facundo",""
"12497","CODESIN S.A.","CUIT","30645568350","(0299)4412848.","","","","","","CILINDRO HIDRAULICO","ZONA TRAFICAÑO","",""
"12511","CODIMAT S.A.","CUIT","30540889356","(0291)459-2400","","BAHIA BLANCA","BAHIA BLANCA","BUENOS AIRES","","","","",""
"12512","CODIMAT S.A.","CUIT","30540889356","","","","","","","","ZONA TRAFICAÑO","",""
"12823","COEMI S.A","CUIT","30715989332","[]","","","","","","","","",""
"12163","COEMYC S.A.","CUIT","","0342-488-4316","","SANTA FE","LA CAPITAL","SANTA FE","","","","",""
"13086","COEXCO SA","CUIT","30708527587","03329-425452/422446  3329-498494","","","","","BAJA","","ZONA NORTE","Iglesias Gustavo",""
"12849","COFACO INDUSTRIAL Y COMERCIAL S R L","CUIT","30505151433","[]","","","","","","","","",""
"12446","COFCO INTL","CUIT","","0341-4839394","","","","","","","","",""
"12799","COINZA S.A.","CUIT","30707289658","(011) 5263-5325","a.dossantos","","","","","","ZONA NORTE","",""
"11327","COLLA RUBEN JOSE","CUIT","20140576264","02941-464228","","","","","","","","",""
"12289","COLLA SRL","CUIT","30522470194","03533-420-082","","","","","","","","",""
"10156","COLMAR ELECTROTECNICA S.R.L.","CUIT","30707297189","4223-0906","","BERAZATEGUI","BERAZATEGUI","BUENOS AIRES","","","ZONA SUR","",""
"13088","COLONIA SAN FRANCISCO LTDA","CUIT","30625975995","3775-499316 / 3775-499316","","","","","BAJA","","ZONA NORTE","Iglesias Gustavo",""
"11286","COLTMATIC SRL","CUIT","30707992960","4751-7582","","CASEROS","TRES DE FEBRERO","BUENOS AIRES","","","ZONA OESTE","",""
"10508","COMASA S.A.","CUIT","","4709-0308/0309","","SAN MARTIN","CAPAYAN","CATAMARCA","","","ZONA NORTE","",""
"11462","COMAU ARGENTINA S.A.","CUIT","","0351-4103317/4102929","","FERREYRA","CAPITAL","CORDOBA","","","","",""
"10557","COMBET","CUIT","30580270863","4767-5192/6946","","VILLA BALLESTER","GRL.SAN MARTIN","BUENOS AIRES","","","ZONA NORTE","",""
"12098","COMBUMONT S.A.","CUIT","30715872796","15-6939-5999","","BANFIELD","LOMAS DE ZAMORA","BUENOS AIRES","","","ZONA SUR","",""
"11168","COMERCIAL MID S.R.L","CUIT","30708143134","4798-1025,4792-3886","","MARTINEZ","SAN ISIDRO","BUENOS AIRES","","","ZONA NORTE","",""
"11272","COMERCIAL RANCHILLOS SRL","CUIT","30711361428","0381-4284520/0381-4283049","","RANCHILLOS","CRUZ ALTA","TUCUMAN","","","","",""
"11401","COMERCIAL SIT","CUIT","","4714-3844","","","","","","","","",""
"12783","COMERCIAL Y SERVICIOS AR & HI LIMITADA","SIN IDENTIFICAR","76.287.664-7","[]","a.dossantos","","","","","","","",""
"12773","COMERCIAL Y SERVICIOS LTDA","CUIT","20507005188","[]","","","","","","","","",""
"11672","COMERCIALIZADORA JAMHESA SAS","CUIT","","57-2-2874611","","","","","","","","",""
"12769","COMIBOR S.A","CUIT","30711565104","[]","","","","","","","","",""
"11154","COMP. ARG. DE MONTAJES IND. SRL (CAMI)","CUIT","33698019099","4768-8365/4790-8973","camisrl98@yahoo.com.ar","SAN MARTIN","CAPAYAN","CATAMARCA","","","ZONA NORTE","",""
"10549","COMPANIA INTERNACIONAL DE JUNTAS SA","CUIT","","0221-4730345","","VILLA ELISA","COLON","ENTRE RIOS","","","CAPITAL FEDERAL","",""
"11912","COMPAÑIA ARGENTINA DE LEVADURAS SAIC (CALSA)","CUIT","30532149793","(0381)439-1664","","SAN MIGUEL DE TUCUMAN ,EST.TUCUMAN","CAPITAL","TUCUMAN","","","","",""
"11104","COMPAÑIA ARGENTINA DE MERCHANDISING S.A.","CUIT","30709135135","4104-4600","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"12223","COMPAÑIA DE OBRAS Y SERVICIOS ESPECIALES S.A.","CUIT","30618595001","(0351)4975991/(0351)4951972","","CORDOBA","CAPITAL","CORDOBA","","GNC","","",""
"12354","COMPAÑIA INVERSORA INDUSTRIAL S.A.","CUIT","33711062489","0381-453 6960/Int2817","","","","","","","","",""
"12506","COMPAÑIA MEGA SA","CUIT","30696139888","+54(11)2291-6370MOVILNICOLAS","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","","",""
"10897","COMPAÑÍA MUNDIAL DIESEL S.R.L. (MARVI)","CUIT","30709942960","4484-7983/86-DIRECTO4484-9433","gemcarsrl@infovia.com.ar","SAN JUSTO","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"11691","COMPLEJO ALIMENTICIO SAN SALVADOR S.A.","CUIT","30711828326","(0381)4842800Int.2171","","COLOMBRES","CRUZ ALTA","TUCUMAN","","","","",""
"11501","COMPLEJO ALIMENTICIO SAN SALVADOR(ING CONCEPCION)","CUIT","30711828326","0381-4260960/0137/0723","","SAN MIGUEL DE TUCUMAN ,EST.TUCUMAN","CAPITAL","TUCUMAN","","","","",""
"11610","COMPRESURT S.A.","CUIT","33709302839","4848-1202/15-5306-1049","","GENERAL SAN MARTIN ,EST.SAN MARTIN","GENERAL SAN MARTIN","BUENOS AIRES","","GNC","ZONA NORTE","",""
"13073","COMSERT MEDICIóN Y CONTROL","CUIT","30693441818","[]","","","","","","","","Chamorro Diego",""
"13057","COMUNA GENERAL LAGOS","CUIT","30677478450","[]","","","","","","","","",""
"11228","CONAS BARADERO S.A.","CUIT","","(03329)48-6825","","BARADERO","BARADERO","BUENOS AIRES","","","ZONA SUR","",""
"11213","CONCEPCION MARIO PIMENTEL CHOQUE","CUIT","","59146662398","pimentelpetrol@gmail.com","","","","","","","",""
"12843","CONESE","CUIT","30711807469","[]","","","","","","","","",""
"10814","CONEXTUBE S.A","CUIT","30655037248","4769-1419","","SAN MARTIN","CAPAYAN","CATAMARCA","","","ZONA NORTE","",""
"12839","CONFECOR S A","CUIT","30612778872","[]","","","","","","TUBING","ZONA SUR","Ramos Gervasio",""
"13035","CONFORMADOS METALICOS SRL","CUIT","30710790775","[]","","","","","","","","",""
"10344","CONJUNTOS ELECTRICOS S.R.L.","CUIT","","4208-9627/4209-2724","","","","","","","ZONA SUR","",""
"10159","CONMAN ARGENTINA S.A","CUIT","30712860509","4209-1842/4208-0387","conman@rcc.com.ar","ESCALADA, REMEDIOS DE","LANUS","BUENOS AIRES","","ESTRUCTURAL","ZONA SUR","",""
"12172","CONMECA S.R.L","CUIT","","(0351)497-7070/(0351)497-6300","","CORDOBA","CAPITAL","CORDOBA","","","","",""
"12697","CONSADE S.A","CUIT","30708600810","[]","","","","","","","","",""
"12658","CONSAR CONSTRUCCIONES ARGENTINAS SA","CUIT","30575117003","[]","","","","","","CONDUCCION","ZONA SUR","Dos Santos Alejandro",""
"10172","CONSTRUCCIONES METALURGICAS ZANELLO","CUIT","33547646199","03533-422015/422016/422017","","LAS VARILLAS","SAN JUSTO","CORDOBA","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"11807","CONSTRUCCIONES TERMODINAMICAS SRL","CUIT","33714154899","(0341)439-5522","","ROSARIO","ROSARIO","SANTA FE","","","CAPITAL FEDERAL","",""
"12149","CONSTRUCTORA SUDAMERICANA S.A.C.I.F. INMOB Y AGROP","CUIT","30546752271","4313-2008","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"11746","CONSTRUGROUP SAN MARTIN SRL (INTEME)","CUIT","30712305858","","","GENERAL SAN MARTIN ,EST.SAN MARTIN","GENERAL SAN MARTIN","BUENOS AIRES","","ESTRUCTURAL","ZONA NORTE","",""
"12677","CONSTRUMET - CONSTRUCCIONES Y MONTAJES","CUIT","30709347361","[]","","","","","","","","",""
"11614","CONSTRUTEC C.I. Y CIV. S.R.L. (CAMI)","CUIT","30712460306","4768-8365/4790-8973","","OLIVOS","VICENTE LOPEZ","BUENOS AIRES","","","ZONA NORTE","",""
"11494","CONTIGIANI S.A.","CUIT","","4709-3413","","","","","","ESTRUCTURAL","ZONA NORTE","",""
"12144","CONTIVAL TECNICA S.R.L.","CUIT","30708806001","4657-3021/4657-4101/4488-1083","","CIUDADELA","TRES DE FEBRERO","BUENOS AIRES","","","ZONA OESTE","",""
"10012","CONTRERAS","CUIT","","[]","","","","","","","","Gambina Mariano",""
"12122","CONTRERAS HNOS","CUIT","30504536706","43219500","","","","","","CONDUCCION","","Dos Santos Alejandro",""
"11522","CONTRERAS HNOS S A IND COM INMOB FINAN AGRIC GAN Y","CUIT","","4321-9551/(0299)441-3141","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"12952","CONUAR S.A.","CUIT","30589673804","11-4480-8400","info@conuar.com","","","","","","ZONA TRAFICAÑO","",""
"10473","CONVECTORES JOURNADE GNC","CUIT","30623133806","0351-4510185/4516833","","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"12260","CONVER INDUSTRIAL S.R.L.","CUIT","30714347663","4652-7104","","","","","","","","",""
"12452","CONVER INDUSTRIAL S.R.L.","CUIT","30714347663","","","","","","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"11323","CONYLEC","CUIT","","47125002","","","","","","","","",""
"11888","COOLPO SRL","CUIT","33711301009","(0221)478-0142","","LA PLATA","LA PLATA","BUENOS AIRES","","","ZONA SUR","",""
"11348","COOP DE TRABAJO FRIGORIFICO Y MATADERO BRAGADO","CUIT","30709555126","2342427924","","","","","","","","",""
"12224","COOP. AGUA POTABLE SAN MARTIN DE LOS ANDES","CUIT","30571865684","(02972)427477/(02972)428989","","SAN MARTIN DE LOS ANDES","LACAR","NEUQUEN","","CILINDRO HIDRAULICO","","",""
"10393","COOP. DE TRABAJO VELEZ SARFIELD (EX MARI","CUIT","","4253-1789/4642","","QUILMES","QUILMES","BUENOS AIRES","","","ZONA SUR","",""
"13087","COOPECICOR LTDA.","CUIT","30707965092","´5493775405307","","","","","BAJA","","ZONA NORTE","Iglesias Gustavo",""
"10241","COOPERATIVA DE TRABAJO 18 DE ABRIL LTDA","CUIT","30685426788","0351-4974054","","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"10140","COOPERATIVA DE TRABAJO ARCUCCI LIMITADA","CUIT","30711205310","4672-8108/4636-3511/4636-3512","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CUPLAS","CAPITAL FEDERAL","",""
"10109","COOPERATIVA DE TRABAJO INDIEL LIMITADA","CUIT","30712245855","4006-7700/4006-7716(CRISTINACIFRODELLI)","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10863","COOPERATIVA DE TRABAJO RENO LIMITADA (EX MAHELY)","CUIT","30707810056","4262-4462","","LANUS","LANUS","BUENOS AIRES","","","ZONA SUR","",""
"11247","COOPERATIVA DE TRABAJO TALLER NAVAL LIMITADA","CUIT","30651685679","0221-4612560/0221-4611112","","LA PLATA","LA PLATA","BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA SUR","",""
"12326","COOPERATIVA ELECTRICA DE MONTE LTDA","CUIT","30545697889","02271-409526/02226447830","","SAN MIGUEL DEL MONTE ,EST.MONTE","MORON","BUENOS AIRES","","","","",""
"11543","COOPERTEI","CUIT","","0221461-1217/221464-3172","","","","","","CILINDRO HIDRAULICO","","",""
"11125","COPPER ONE S.A.","CUIT","30558529535","4626-1995","info@ramonvilaro.com.ar","LAFERRERE","LA MATANZA","BUENOS AIRES","","PARA CAMISAS","ZONA OESTE","",""
"10902","COR LOVE S R L","CUIT","30659813285","(0351)465-3894","","ADELA","GENERAL OBLIGADO","SANTA FE","","","CAPITAL FEDERAL","",""
"10345","CORD-BELL S.R.L.","CUIT","30585112352","0351-4664217","","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"11818","CORDARY CARLOS ALBERTO","CUIT","20337388494","(02202)43-0511","","GONZALEZ CATAN","LA MATANZA","BUENOS AIRES","","","ZONA OESTE","",""
"10088","CORDERO GERARDO","CUIT","20125018115","4734-2897","metalurgicacordero@arnet.com.ar","CASEROS","TRES DE FEBRERO","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA NORTE","",""
"11868","CORIJUNIO S.A.","CUIT","30708530057","(02244)44-4246","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","","",""
"10558","CORONATI","CUIT","2008429272","4443-5114","","SAN JUSTO","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10559","CORONEL (FLETE)","CUIT","","4272-0292","","","","","","","","",""
"12150","CORPORACION AMERICA S.A. (CORREDOR AMERICANO)","CUIT","33688502549","48520000/4899-6238","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"11992","CORPUS ROSARIO S.A.","CUIT","30707259597","(0341)437-2021","","SAN LORENZO","SAN LORENZO","SANTA FE","","CILINDRO HIDRAULICO","","",""
"11585","CORRADO OMAR RAUL","CUIT","20210931229","4442-4256","","VILLA MADERO","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"11508","CORSARIO","CUIT","","(03865)422997/(03865)15-41-5941","","","","","","","","",""
"10864","CORTADORAS ARGENTINAS S.A.","CUIT","30715056220","4657-0696/4653-7007","","RAMOS MEJIA","LA MATANZA","BUENOS AIRES","","","ZONA OESTE","",""
"12933","CORTES DE PRECISIóN S.A.","CUIT","30709818437","4752 0561","ventas@cortesdeprecision.com.ar","","","","","","ZONA NORTE","",""
"12364","CORTESTAMP S.A.","CUIT","30504757087","4726-7500","","","","","","","","",""
"11030","CORTINAS METALICAS MATADEROS S.R.L.","CUIT","30708081074","4684-0333","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"10821","CORVALAN","CUIT","","46515159","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10429","CORVEN S A C I F","CUIT","30567998130","(03462)43-9400/(03462)42-2736/(03462)42-0396","","VENADO TUERTO","GENERAL LOPEZ","SANTA FE","","CONDUIT","CAPITAL FEDERAL","",""
"12327","COSMACA S.R.L.","CUIT","30707857303","54-11-4755-8200/54-11-3598-6316","","","","","","","","",""
"11279","COTA LTD","CUIT","30558759476","0381-461-8626","","TAFI VIEJO","TAFI","TUCUMAN","BAJA","CONDUCCION","ZONA NORTE","Iglesias Gustavo",""
"11394","COTAGAITA","CUIT","","2062-0482","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"12728","CP GROUP INGENIERIA Y MONTAJES SAS","EN TRAMITE","00000","[]","","","","","","","","",""
"11067","CPI SUPPLIERS S.A.","CUIT","30708643188","4307-1625","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12599","CR CONSTRUCTORA S.R.L","CUIT","30710823886","[]","","","","","","","","Ierullo Facundo",""
"12137","CR SERVICIOS","CUIT","20303975625","0299-4014964","","","","","","","","",""
"12157","CRECER S.A.","CUIT","30652671108","(0299)4891025/(0299)4895914/0299154616941/0299154616940","","CENTENARIO","CONFLUENCIA","NEUQUEN","","CILINDRO HIDRAULICO","","",""
"11400","CRISBA CAÑERIAS S.R.L.","CUIT","30714991856","02302-15570891","crisba_industria@hotmail.com","GENERAL PICO","MARACO","LA PAMPA","","ESTRUCTURAL","","",""
"10815","CRISFERR S.R.L.","CUIT","30709024759","4270-7775","","BERNAL","QUILMES","BUENOS AIRES","","","ZONA SUR","",""
"10327","CRISTAL-MET","CUIT","20227352443","4441-1615","","","","","","","ZONA TRAFICAÑO","",""
"10741","CROMWELL Y CIA S A C I F I A","CUIT","30506816641","4301-4124/4125/0620","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","GNC","CAPITAL FEDERAL","",""
"12698","CROWN POINT ENERGIA SA","CUIT","30709346268","Tel: (54)2974174297","a.dossantos","","","","","CONDUCCION","","Dos Santos Alejandro",""
"10267","CRUCIANELLI S.R.L.","CUIT","30577056206","0351-4940815/4940010/4940005","cruciane@arnet.com.ar","CORDOBA","CAPITAL","CORDOBA","","CIRCUITO HIDRAULICO","CAPITAL FEDERAL","",""
"11322","CUPLAS JAC","CUIT","","42863625","info@cuplasjac.com.ar","","","","","","","",""
"11837","CURTIEMBRE ARLEI S.A.","CUIT","30521958134","03482-492-146","","ROSARIO DE LERMA","ROSARIO DE LERMA","SALTA","","","ZONA SUR","",""
"12361","CURTIEMBRE LA RIOJA S.A.","CUIT","30710756372","","","NONOGASTA","CHILECITO","LA RIOJA","","","","",""
"11600","CURTUME CBR SOCIEDAD ANONIMA","CUIT","30710663072","(03825)49-9521/(03825)49-9526/(03825)49-9527","","LA RIOJA","CAPITAL","LA RIOJA","","","CAPITAL FEDERAL","",""
"11212","CURVASOL S.R.L.","CUIT","30708195347","4301-3044/6218","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"10975","CZERNIAS S.A.","CUIT","30616037702","4246-8151/4953-2048(FABRICA)/15-6200-7763(RICHARD)","czerniric@yahoo.com.ar","VILLA DOMINICO","AVELLANEDA","BUENOS AIRES","","GNC","ZONA SUR","",""
"13013","CÉSAR A. AMOROSO SRL","CUIT","30500074953","4542-2522 4752-2253","tecnica@cesaramoroso.com","","","","","","","",""
"12474","CÉSAR EZEQUIEL DOMNINGUEZ","CUIT","20312933331","4238-7265","","BURZACO","ALMIRANTE BROWN","BUENOS AIRES","","","","",""
"12524","D P M S.A.","CUIT","30708550309","[]","","","","","","","ZONA TRAFICAÑO","",""
"11297","D&V METAL S.A.","CUIT","33709398879","","","FLORIDA","VICENTE LOPEZ","BUENOS AIRES","","","ZONA NORTE","",""
"10560","D. M. C. S.R.L.","CUIT","34556969932","4602-6053","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
